Agency,Portfolio,URL Col,URL,Status
Australian Bureau of Statistics,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/glossary,OK
Australian Bureau of Statistics,Treasury,glossary_url2,https://www.transparency.gov.au/publications/treasury/australian-bureau-of-statistics/australian-bureau-of-statistics-annual-report-2023-24/reference-material/abbreviations-and-acronyms,OK
Australian Centre for International Agricultural Research (ACIAR),Foreign Affairs and Trade,glossary_url1,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-centre-for-international-agricultural-research-aciar/australian-centre-for-international-agricultural-research-annual-report-2023-24/part-6-reference-material/abbreviations-and-acronyms,OK
Australian Centre for International Agricultural Research (ACIAR),Foreign Affairs and Trade,glossary_url2,nan,Error: Message: invalid argument
Australian Commission on Safety and Quality in Health Care,Health,glossary_url1,nan,Error: Message: invalid argument
Australian Commission on Safety and Quality in Health Care,Health,glossary_url2,nan,Error: Message: invalid argument
Australian Communications and Media Authority (ACMA),Communications and the Arts,glossary_url1,https://www.transparency.gov.au/publications/communications-and-the-arts/australian-communications-and-media-authority-acma/australian-communications-and-media-authority-and-esafety-commissioner-annual-report-2023-24/glossary,OK
Australian Communications and Media Authority (ACMA),Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Australian Competition and Consumer Commission (ACCC),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24/part-6---appendixes/glossary-and-abbreviations,OK
Australian Competition and Consumer Commission (ACCC),Treasury,glossary_url2,nan,Error: Message: invalid argument
Australian Criminal Intelligence Commission,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/glossary,OK
Australian Criminal Intelligence Commission,Attorney-General's,glossary_url2,https://www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/list-of-abbreviations,OK
"Australian Curriculum, Assessment and Reporting Authority",Education,glossary_url1,nan,Error: Message: invalid argument
"Australian Curriculum, Assessment and Reporting Authority",Education,glossary_url2,nan,Error: Message: invalid argument
Australian Digital Health Agency,Health,glossary_url1,nan,Error: Message: invalid argument
Australian Digital Health Agency,Health,glossary_url2,nan,Error: Message: invalid argument
Australian Electoral Commission,Finance,glossary_url1,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/glossary,OK
Australian Electoral Commission,Finance,glossary_url2,https://www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/abbreviations-and-acronyms,OK
Australian Federal Police,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24/reference-material/abbreviations-and-acronyms,OK
Australian Federal Police,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
"Australian Film, Television and Radio School",Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
"Australian Film, Television and Radio School",Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Australian Financial Security Authority,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-financial-security-authority/australian-financial-security-authority-annual-report-2023-24/abbreviations-and-acronyms,OK
Australian Financial Security Authority,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Fisheries Management Authority,Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/glossary,OK
Australian Fisheries Management Authority,Agriculture,glossary_url2,https://www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/abbreviations-and-acronyms,OK
Australian Hearing Services (Hearing Australia),Services Australia,glossary_url1,https://www.transparency.gov.au/publications/services-australia/australian-hearing-services-hearing-australia/australian-hearing-services-hearing-australia-annual-report-2023-24/glossary,OK
Australian Hearing Services (Hearing Australia),Services Australia,glossary_url2,nan,Error: Message: invalid argument
Australian Human Rights Commission,Attorney-General's,glossary_url1,nan,Error: Message: invalid argument
Australian Human Rights Commission,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Institute for Teaching and School Leadership Limited,Education,glossary_url1,nan,Error: Message: invalid argument
Australian Institute for Teaching and School Leadership Limited,Education,glossary_url2,nan,Error: Message: invalid argument
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024/part-7.-aids-to-access/abbreviations-and-acronyms,OK
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Australian Institute of Criminology,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24/about-this-report/acronyms,OK
Australian Institute of Criminology,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Institute of Family Studies (AIFS),Social Services,glossary_url1,https://www.transparency.gov.au/publications/social-services/australian-institute-of-family-studies-aifs/australian-institute-of-family-studies-annual-report-2023-24/appendices/appendix-d%3A-acronyms-and-abbreviations,OK
Australian Institute of Family Studies (AIFS),Social Services,glossary_url2,nan,Error: Message: invalid argument
Australian Institute of Health and Welfare,Health,glossary_url1,https://www.transparency.gov.au/publications/health/australian-institute-of-health-and-welfare/australian-institute-of-health-and-welfare-annual-report-2023-24/user-guide---acronyms-and-abbreviations,OK
Australian Institute of Health and Welfare,Health,glossary_url2,nan,Error: Message: invalid argument
Australian Institute of Marine Science,"Climate Change, Energy, the Environment and Water",glossary_url1,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-institute-of-marine-science/australian-institute-of-marine-science-annual-report-2023-24/chapter-6%3A-appendices-and-indexes/index%3A-acronyms,OK
Australian Institute of Marine Science,"Climate Change, Energy, the Environment and Water",glossary_url2,nan,Error: Message: invalid argument
Australian Law Reform Commission,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-law-reform-commission/australian-law-reform-commission-annual-report-2023-24/glossary,OK
Australian Law Reform Commission,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Maritime Safety Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,nan,Error: Message: invalid argument
Australian Maritime Safety Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Australian Military Forces Relief Trust Fund,Defence,glossary_url1,nan,Error: Message: invalid argument
Australian Military Forces Relief Trust Fund,Defence,glossary_url2,nan,Error: Message: invalid argument
Australian National Audit Office,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-national-audit-office/australian-national-audit-office-annual-report-2023-24/abbreviations-and-acronyms,OK
Australian National Audit Office,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Australian National Maritime Museum,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Australian National Maritime Museum,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Australian Naval Infrastructure Pty Ltd,Finance,glossary_url1,nan,Error: Message: invalid argument
Australian Naval Infrastructure Pty Ltd,Finance,glossary_url2,nan,Error: Message: invalid argument
Australian Nuclear Science and Technology Organisation,"Industry, Innovation and Science",glossary_url1,https://www.transparency.gov.au/publications/industry-innovation-and-science/australian-nuclear-science-and-technology-organisation/australian-nuclear-science-and-technology-organisation-annual-report-2023-24/appendices-and-index/glossary,OK
Australian Nuclear Science and Technology Organisation,"Industry, Innovation and Science",glossary_url2,nan,Error: Message: invalid argument
Australian Office of Financial Management (AOFM),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-office-of-financial-management-aofm/australian-office-of-financial-management-annual-report-2023-24/part-5%3A-aids-to-access/glossary-of-abbreviations,OK
Australian Office of Financial Management (AOFM),Treasury,glossary_url2,nan,Error: Message: invalid argument
Australian Pesticides and Veterinary Medicines Authority (APVMA),Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements,OK
Australian Pesticides and Veterinary Medicines Authority (APVMA),Agriculture,glossary_url2,https://www.transparency.gov.au/publications/agriculture/australian-pesticides-and-veterinary-medicines-authority-apvma/australian-pesticides-and-veterinary-medicines-authority-annual-report-2023-24/acronyms-and-abbreviations%2C-glossary%2C-and-list-of-requirements,OK
Australian Postal Corporation,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Australian Postal Corporation,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Australian Prudential Regulation Authority (APRA),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-prudential-regulation-authority/australian-prudential-regulation-authority-annual-report-2023-24/glossary,OK
Australian Prudential Regulation Authority (APRA),Treasury,glossary_url2,nan,Error: Message: invalid argument
Australian Public Service Commission,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-public-service-commission/australian-public-service-commission-annual-report-2023-24/appendices/appendix-b%3A-glossary-of-abbreviations-and-acronyms,OK
Australian Public Service Commission,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Health,glossary_url1,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/glossary,OK
Australian Radiation Protection and Nuclear Safety Agency (ARPANSA),Health,glossary_url2,https://www.transparency.gov.au/publications/health/australian-radiation-protection-and-nuclear-safety-agency-arpansa/australian-radiation-protection-and-nuclear-safety-agency-annual-report-2023-24/part-7%3A-reference-material/abbreviations,OK
Australian Rail Track Corporation Limited,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,nan,Error: Message: invalid argument
Australian Rail Track Corporation Limited,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Australian Reinsurance Pool Corporation,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/glossary,OK
Australian Reinsurance Pool Corporation,Treasury,glossary_url2,https://www.transparency.gov.au/publications/treasury/australian-reinsurance-pool-corporation/australian-reinsurance-pool-corporation-annual-report-2023-24/8%3A-index/acronyms-and-abbreviations,OK
Australian Renewable Energy Agency,"Climate Change, Energy, the Environment and Water",glossary_url1,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/australian-renewable-energy-agency/australian-renewable-energy-agency-annual-report-2023-24/appendix-d%3A-glossary,OK
Australian Renewable Energy Agency,"Climate Change, Energy, the Environment and Water",glossary_url2,nan,Error: Message: invalid argument
Australian Research Council,Education,glossary_url1,https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/glossary,OK
Australian Research Council,Education,glossary_url2,https://www.transparency.gov.au/publications/education/australian-research-council/australian-research-council-annual-report-2023-24/part-6%3A-reference-material/abbreviations-and-acronyms,OK
Australian Securities and Investments Commission (ASIC),Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-securities-and-investments-commission-asic/annual-report-2023-24/glossary,OK
Australian Securities and Investments Commission (ASIC),Treasury,glossary_url2,nan,Error: Message: invalid argument
Australian Security Intelligence Organisation,Home Affairs,glossary_url1,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/glossary,OK
Australian Security Intelligence Organisation,Home Affairs,glossary_url2,https://www.transparency.gov.au/publications/home-affairs/australian-security-intelligence-organisation/asio-annual-report-2023-24/preliminaries/abbreviations-and-short-forms,OK
Australian Signals Directorate,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/australian-signals-directorate/australian-signals-directorate-annual-report-2023-24/glossary-of-abbreviations-and-acronyms,OK
Australian Signals Directorate,Defence,glossary_url2,nan,Error: Message: invalid argument
Australian Skills Quality Authority (National Vocational Education and Training Regulator),"Education, Skills and Employment",glossary_url1,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/glossary,OK
Australian Skills Quality Authority (National Vocational Education and Training Regulator),"Education, Skills and Employment",glossary_url2,https://www.transparency.gov.au/publications/education-skills-and-employment/australian-skills-quality-authority-national-vocational-education-and-training-regulator/australian-skills-quality-authority-national-vocational-education-and-training-regulator-annual-report-2023-24/chapter-5.-appendices/acronyms-and-abbreviations,OK
Australian Sports Commission (Australian Institute of Sport),Health,glossary_url1,nan,Error: Message: invalid argument
Australian Sports Commission (Australian Institute of Sport),Health,glossary_url2,nan,Error: Message: invalid argument
Australian Sports Foundation Limited,Health,glossary_url1,nan,Error: Message: invalid argument
Australian Sports Foundation Limited,Health,glossary_url2,nan,Error: Message: invalid argument
Australian Strategic Policy Institute Ltd,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24/annexes/annex-l%3A-acronyms-and-abbreviations,OK
Australian Strategic Policy Institute Ltd,Defence,glossary_url2,nan,Error: Message: invalid argument
Australian Submarine Agency,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms,OK
Australian Submarine Agency,Defence,glossary_url2,nan,Error: Message: invalid argument
Australian Taxation Office,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/glossary,OK
Australian Taxation Office,Treasury,glossary_url2,https://www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/abbreviations,OK
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,glossary_url1,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24/abbreviations-and-acronyms,OK
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,glossary_url2,nan,Error: Message: invalid argument
Australian Transaction Reports and Analysis Centre (AUSTRAC),Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24/glossary,OK
Australian Transaction Reports and Analysis Centre (AUSTRAC),Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Australian Transport Safety Bureau (ATSB),"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24/appendices/appendix-v%3A-glossary,OK
Australian Transport Safety Bureau (ATSB),"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Australian War Memorial,Veterans' Affairs,glossary_url1,nan,Error: Message: invalid argument
Australian War Memorial,Veterans' Affairs,glossary_url2,nan,Error: Message: invalid argument
Bundanon Trust,Communications and the Arts,glossary_url1,nan,Error: Message: invalid argument
Bundanon Trust,Communications and the Arts,glossary_url2,nan,Error: Message: invalid argument
Bureau of Meteorology,"Agriculture, Water and the Environment",glossary_url1,https://www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24/section-6---appendices/glossary,OK
Bureau of Meteorology,"Agriculture, Water and the Environment",glossary_url2,nan,Error: Message: invalid argument
Cancer Australia,Health,glossary_url1,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/glossary,OK
Cancer Australia,Health,glossary_url2,https://www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/abbreviations,OK
Central Land Council,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/central-land-council/central-land-council-annual-report-2023-24/glossary,OK
Central Land Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Civil Aviation Safety Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/civil-aviation-safety-authority/civil-aviation-safety-authority-annual-report-2023-24/abbreviations-list,OK
Civil Aviation Safety Authority,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,nan,Error: Message: invalid argument
Clean Energy Finance Corporation,"Climate Change, Energy, the Environment and Water",glossary_url1,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/glossary,OK
Clean Energy Finance Corporation,"Climate Change, Energy, the Environment and Water",glossary_url2,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/clean-energy-finance-corporation/clean-energy-finance-corporation-annual-report-2023-24/appendices/abbreviations,OK
Clean Energy Regulator,"Climate Change, Energy, the Environment and Water",glossary_url1,nan,Error: Message: invalid argument
Clean Energy Regulator,"Climate Change, Energy, the Environment and Water",glossary_url2,nan,Error: Message: invalid argument
Climate Change Authority,"Climate Change, Energy, the Environment and Water",glossary_url1,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/glossary,OK
Climate Change Authority,"Climate Change, Energy, the Environment and Water",glossary_url2,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/climate-change-authority/climate-change-authority-annual-report-2023-24/abbreviations,OK
Coal Mining Industry (Long Service Leave Funding) Corporation,Attorney-General's,glossary_url1,https://www.transparency.gov.au/publications/attorney-general-s/coal-mining-industry-long-service-leave-funding-corporation/coal-mining-industry-long-service-leave-funding-corporation-annual-report-2023-24/-part-5.-appendices/glossary-and-acronyms,OK
Coal Mining Industry (Long Service Leave Funding) Corporation,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Comcare,Attorney-General's,glossary_url1,nan,Error: Message: invalid argument
Comcare,Attorney-General's,glossary_url2,nan,Error: Message: invalid argument
Commonwealth Grants Commission,Treasury,glossary_url1,https://www.transparency.gov.au/publications/treasury/commonwealth-grants-commission/commonwealth-grants-commission-annual-report-2023-24/reference-material/glossary-of-acronyms-and-initialisms,OK
Commonwealth Grants Commission,Treasury,glossary_url2,nan,Error: Message: invalid argument
Commonwealth Scientific and Industrial Research Organisation,"Industry, Innovation and Science",glossary_url1,https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/glossary,OK
Commonwealth Scientific and Industrial Research Organisation,"Industry, Innovation and Science",glossary_url2,https://www.transparency.gov.au/publications/industry-innovation-and-science/commonwealth-scientific-and-industrial-research-organisation/commonwealth-scientific-and-industrial-research-organisation-annual-report-2023-24/part-6%3A-appendices-and-indexes-/acronyms,OK
Commonwealth Superannuation Corporation (CSC),Finance,glossary_url1,https://www.transparency.gov.au/publications/finance/commonwealth-superannuation-corporation-csc/commonwealth-superannuation-corporation-annual-report-2023-24/10.-glossary,OK
Commonwealth Superannuation Corporation (CSC),Finance,glossary_url2,nan,Error: Message: invalid argument
Cotton Research and Development Corporation,Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24/section-6%3A-appendices/appendix-7%3A-abbreviations-list,OK
Cotton Research and Development Corporation,Agriculture,glossary_url2,nan,Error: Message: invalid argument
Creative Australia,"Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url1,nan,Error: Message: invalid argument
Creative Australia,"Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url2,nan,Error: Message: invalid argument
Defence Housing Australia,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24/part-6---appendices-and-reference-information/appendix-i---acronyms-and-abbreviations,OK
Defence Housing Australia,Defence,glossary_url2,nan,Error: Message: invalid argument
"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",glossary_url1,https://www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24/part-6%3A-aids-to-access/glossary,OK
"Department of Agriculture, Fisheries and Forestry","Agriculture, Fisheries and Forestry",glossary_url2,nan,Error: Message: invalid argument
"Department of Climate Change, Energy, the Environment and Water","Climate Change, Energy, the Environment and Water",glossary_url1,https://www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24/part-7-%E2%80%93-aids-to-access/abbreviations-and-acronyms,OK
"Department of Climate Change, Energy, the Environment and Water","Climate Change, Energy, the Environment and Water",glossary_url2,nan,Error: Message: invalid argument
Department of Defence,Defence,glossary_url1,https://www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24/abbreviations-and-acronyms,OK
Department of Defence,Defence,glossary_url2,nan,Error: Message: invalid argument
Department of Education [i],Education [i],glossary_url1,https://www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report/indexes/abbreviations-and-acronyms,OK
Department of Education [i],Education [i],glossary_url2,nan,Error: Message: invalid argument
Department of Employment and Workplace Relations,Employment and Workplace Relations,glossary_url1,https://www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24/chapter-6---indexes/abbreviations-and-acronyms,OK
Department of Employment and Workplace Relations,Employment and Workplace Relations,glossary_url2,nan,Error: Message: invalid argument
Department of Finance,Finance,glossary_url1,https://www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24/abbreviations-and-acronyms,OK
Department of Finance,Finance,glossary_url2,nan,Error: Message: invalid argument
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,glossary_url1,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24/abbreviations-and-acronyms,OK
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,glossary_url2,nan,Error: Message: invalid argument
Department of Health and Aged Care,Health and Aged Care,glossary_url1,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/glossary,OK
Department of Health and Aged Care,Health and Aged Care,glossary_url2,https://www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24/navigation-aids/acronyms-and-abbreviations,OK
Department of Home Affairs,Home Affairs,glossary_url1,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/glossary,OK
Department of Home Affairs,Home Affairs,glossary_url2,https://www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report/part-7%3A-reference-material/abbreviations-and-acronyms,OK
"Department of Industry, Science and Resources","Industry, Science and Resources",glossary_url1,https://www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24/chapter-5%3A-appendices/abbreviations-and-acronyms,OK
"Department of Industry, Science and Resources","Industry, Science and Resources",glossary_url2,nan,Error: Message: invalid argument
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development, Communications and the Arts",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24/navigation-aids/glossary,OK
