Title,Portfolio,Entity,URL
Cotton Research and Development Corporation Annual Report 2023-24,Agriculture,Cotton Research and Development Corporation,https:/www.transparency.gov.au/publications/agriculture/cotton-research-and-development-corporation/cotton-research-and-development-corporation-annual-report-2023-24
Creative Australia Annual Report 2023-24,"Infrastructure, Transport, Regional Development, Communications and the Arts",Creative Australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/creative-australia/creative-australia-annual-report-2023-24
Defence Housing Australia Annual Report 2023-24,Defence,Defence Housing Australia,https:/www.transparency.gov.au/publications/defence/defence-housing-australia/defence-housing-australia-annual-report-2023-24
"Department of Agriculture, Fisheries and Forestry Annual report 2023–24","Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",https:/www.transparency.gov.au/publications/agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry/department-of-agriculture-fisheries-and-forestry-annual-report-2023-24
"Department of Climate Change, Energy, the Environment and Water Annual Report 2023–24","Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",https:/www.transparency.gov.au/publications/climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water/department-of-climate-change-energy-the-environment-and-water-annual-report-2023-24
Department of Defence Annual Report 2023-24,Defence,Department of Defence,https:/www.transparency.gov.au/publications/defence/department-of-defence/department-of-defence-annual-report-2023-24
Department of Education 2023-24 Annual Report,Education [i],Department of Education [i],https:/www.transparency.gov.au/publications/education-i/department-of-education-i/department-of-education-2023-24-annual-report
Department of Employment and Workplace Relations Annual Report 2023-24,Employment and Workplace Relations,Department of Employment and Workplace Relations,https:/www.transparency.gov.au/publications/employment-and-workplace-relations/department-of-employment-and-workplace-relations/DEWR-Annual-Report-2023-24
Department of Finance Annual Report 2023-24,Finance,Department of Finance,https:/www.transparency.gov.au/publications/finance/department-of-finance/department-of-finance-annual-report-2023-24
Department of Foreign Affairs and Trade Annual Report 2023-24,Foreign Affairs and Trade,Department of Foreign Affairs and Trade,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/department-of-foreign-affairs-and-trade/department-of-foreign-affairs-and-trade-annual-report-2023-24
Department of Health and Aged Care Annual Report 2023-24,Health and Aged Care,Department of Health and Aged Care,https:/www.transparency.gov.au/publications/health-and-aged-care/department-of-health-and-aged-care/department-of-health-and-aged-care-annual-report-2023-24
DEPARTMENT OF HOME AFFAIRS | 2023–24 ANNUAL REPORT,Home Affairs,Department of Home Affairs,https:/www.transparency.gov.au/publications/home-affairs/department-of-home-affairs/department-of-home-affairs-2023-24-annual-report
"Department of Industry, Science and Resources Annual Report 2023–24","Industry, Science and Resources","Department of Industry, Science and Resources",https:/www.transparency.gov.au/publications/industry-science-and-resources/department-of-industry-science-and-resources/department-of-industry-science-and-resources-annual-report-2023-24
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts Annual Report 2023-24","Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications and the Arts",https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts/department-of-infrastructure-transport-regional-development-communications-and-the-arts-annual-report-2023-24
Department of Parliamentary Services Annual Report 2023 - 2024,Parliamentary Departments (not a portfolio),Department of Parliamentary Services,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-parliamentary-services/department-of-parliamentary-services-annual-report-2023-2024
Department of Social Services 2023-24 Annual Report,Social Services,Department of Social Services,https:/www.transparency.gov.au/publications/social-services/department-of-social-services/department-of-social-services-2023-24-annual-report
DVA Annual Report 2023-24,Veterans' Affairs,Department of Veterans' Affairs,https:/www.transparency.gov.au/publications/veterans-affairs/department-of-veterans-affairs/dva-annual-report-2023-24
Department of the House of Representatives Annual Report 2023-24,Parliamentary Departments (not a portfolio),Department of the House of Representatives,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-house-of-representatives/department-of-the-house-of-representatives-annual-report-2023-24
Annual Report 2023-24,Prime Minister and Cabinet,Department of the Prime Minister and Cabinet,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/department-of-the-prime-minister-and-cabinet/annual-report-2023-24
Department of the Senate Annual Report 2023-24,Parliamentary Departments (not a portfolio),Department of the Senate,https:/www.transparency.gov.au/publications/parliamentary-departments-not-a-portfolio/department-of-the-senate/department-of-the-senate-annual-report-2023-24
Treasury Annual Report 2023-24,Treasury,Department of the Treasury,https:/www.transparency.gov.au/publications/treasury/department-treasury/treasury-annual-report-2023-24
Digital Transformation Agency Annual Report 2023-24,Finance,Digital Transformation Agency,https:/www.transparency.gov.au/publications/finance/digital-transformation-agency/digital-transformation-agency-annual-report-2023-24
Director of National Parks Annual Report 2023-24,"Agriculture, Water and the Environment",Director of National Parks,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/director-of-national-parks/director-of-national-parks-annual-report-2023-24
"Domestic, Family and Sexual Violence Commission Annual Report 2023-24",Social Services,"Domestic, Family and Sexual Violence Commission",https:/www.transparency.gov.au/publications/social-services/domestic-family-and-sexual-violence-commission/domestic-family-and-sexual-violence-commission-annual-report-2023-24
Export Finance Australia Annual Report 2023-2024 ,Foreign Affairs and Trade,"Export Finance and Insurance Corporation (EFIC, Export Finance Australia)",https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/export-finance-and-insurance-corporation-efic-export-finance-australia/export-finance-australia-annual-report-2023-2024
Fair Work Commission - Annual Report 2023-24 - Access to Justice ,Attorney-General's,Fair Work Commission,https:/www.transparency.gov.au/publications/attorney-general-s/fair-work-commission/fair-work-commission-annual-report-2023-24-access-to-justice
Federal Court of Australia Listed Entity Annual Report 2023-24,Attorney-General's,Federal Court of Australia,https:/www.transparency.gov.au/publications/attorney-general-s/federal-court-of-australia/fca-listed-entity-ar-2023-24
Fisheries Research and Development Corporation 2023-24,Agriculture,Fisheries Research and Development Corporation,https:/www.transparency.gov.au/publications/agriculture/fisheries-research-and-development-corporation/fisheries-research-and-development-corporation-2023-24
Food Standards Australia New Zealand Annual Report 2023-24,Health,Food Standards Australia New Zealand,https:/www.transparency.gov.au/publications/health/food-standards-australia-new-zealand/food-standards-australia-new-zealand-annual-report-2023-24
Future Fund Management Agency Annual Report 2023-24,Finance,Future Fund Management Agency,https:/www.transparency.gov.au/publications/finance/future-fund-management-agency/future-fund-management-agency-annual-report-2023-24
Geoscience Australia Annual Report 2023-24,"Industry, Innovation and Science",Geoscience Australia,https:/www.transparency.gov.au/publications/industry-innovation-and-science/geoscience-australia/geoscience-australia-annual-report-2023-24
Grains Research and Development Corporation Annual Report 2023-24,Agriculture,Grains Research and Development Corporation,https:/www.transparency.gov.au/publications/agriculture/grains-research-and-development-corporation/grains-research-and-development-corporation-annual-report-2023-24
Great Barrier Reef Marine Park Authority Annual Report 2023-24,"Agriculture, Water and the Environment",Great Barrier Reef Marine Park Authority,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/great-barrier-reef-marine-park-authority/great-barrier-reef-marine-park-authority-annual-report-2023-24
High Speed Rail Authority Annual Report 2023-24,"Infrastructure, Transport, Regional Development, Communications and the Arts",High Speed Rail Authority,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/high-speed-rail-authority/high-speed-rail-authority-annual-report-2023-24
Housing Australia Annual Report 2023-24,Treasury,Housing Australia,https:/www.transparency.gov.au/publications/treasury/housing-australia/housing-australia-annual-report-2023-24
IP Australia Annual Report 2023-24,"Industry, Innovation and Science",IP Australia,https:/www.transparency.gov.au/publications/industry-innovation-and-science/ip-australia/ip-australia-annual-report-2023-24
Independent Health and Aged Care Pricing Authority Annual Report 2023-24,Health and Aged Care,Independent Health and Aged Care Pricing Authority,https:/www.transparency.gov.au/publications/health-and-aged-care/independent-health-and-aged-care-pricing-authority/independent-health-and-aged-care-pricing-authority-annual-report-2023-24
Independent Parliamentary Expenses Authority – Annual Report 2023–24,Finance,Independent Parliamentary Expenses Authority,https:/www.transparency.gov.au/publications/finance/independent-parliamentary-expenses-authority/independent-parliamentary-expenses-authority-annual-report-2023-24
Indigenous Business Australia Annual Report 2023-24,Prime Minister and Cabinet,Indigenous Business Australia,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-business-australia/indigenous-business-australia-annual-report-2023-24
Indigenous Land and Sea Corporation Annual Report 2023-24,Prime Minister and Cabinet,Indigenous Land and Sea Corporation,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/indigenous-land-and-sea-corporation/indigenous-land-and-sea-corporation-annual-report-2023-24
"2023-24 
Annual Report","Infrastructure, Transport, Cities and Regional Development",Infrastructure Australia,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/infrastructure-australia/2023-24-annual-report
Inspector-General of Taxation Annual Report 2023-24,Treasury,Inspector-General of Taxation,https:/www.transparency.gov.au/publications/treasury/inspector-general-of-taxation/inspector-general-of-taxation-annual-report-2023-24
Murray-Darling Basin Authority Annual Report 2023-24,Agriculture,Murray-Darling Basin Authority,https:/www.transparency.gov.au/publications/agriculture/murray-darling-basin-authority/murray-darling-basin-authority-annual-report-2023-24
NBN 2024 Annual Report,Communications and the Arts,NBN Co Limited,https:/www.transparency.gov.au/publications/communications-and-the-arts/nbn-co-limited/nbn-2024-annual-report
NDIS Quality and Safeguards Commission Annual Report 2023-24,Social Services,NDIS Quality and Safeguards Commission,https:/www.transparency.gov.au/publications/social-services/ndis-quality-and-safeguards-commission/ndis-quality-and-safeguards-commission-annual-report-2023-24
National Anti-Corruption Commission Annual Report 2023-24,Attorney-General's,National Anti-Corruption Commission,https:/www.transparency.gov.au/publications/attorney-general-s/national-anti-corruption-commission/national-anti-corruption-commission-annual-report-2023-24
National Archives of Australia Annual Report 2023-24,"Infrastructure, Transport, Regional Development, Communications and the Arts",National Archives of Australia,https:/www.transparency.gov.au/publications/infrastructure-transport-regional-development-communications-and-the-arts/national-archives-of-australia/national-archives-of-australia-annual-report-2023-24
National Australia Day Council Limited Annual Report 2023-24,Prime Minister and Cabinet,National Australia Day Council Limited,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/national-australia-day-council-limited/national-australia-day-council-limited-annual-report-2023-24
National Blood Authority Annual Report 2023-24,Health,National Blood Authority,https:/www.transparency.gov.au/publications/health/national-blood-authority/national-blood-authority-annual-report-2023-24
National Capital Authority Annual Report 2023-24,"Infrastructure, Transport, Cities and Regional Development",National Capital Authority,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/national-capital-authority/national-capital-authority-annual-report-2023-24
National Competition Council Annual Report 2023-24,Treasury,National Competition Council,https:/www.transparency.gov.au/publications/treasury/national-competition-council/national-competition-council-annual-report-2023-24
"National Disability Insurance Agency Annual Report 2023-24
",Social Services,National Disability Insurance Agency,https:/www.transparency.gov.au/publications/social-services/national-disability-insurance-agency/national-disability-insurance-agency-annual-report-2023-24
National Emergency Management Agency Annual Report 2023-24,Home Affairs,National Emergency Management Agency,https:/www.transparency.gov.au/publications/home-affairs/national-emergency-management-agency/national-emergency-management-agency-annual-report-2023-24
National Film and Sound Archive Annual Report 2023-24,Communications and the Arts,National Film and Sound Archive of Australia,https:/www.transparency.gov.au/publications/communications-and-the-arts/national-film-and-sound-archive-of-australia/national-film-and-sound-archive-annual-report-2023-24
